prop	BC-b	desc	Reaction classified with respect to their lower and upper bounds
prop	BC-b	scope	reac
prop	BC-b	type	enum
prop	BC-p	desc	Presence/absence of asssociated genes or proteins
prop	BC-p	scope	reac
prop	BC-p	type	enum
prop	BC-t	desc	Reaction classified with respect to their role in a GSMN
prop	BC-t	scope	reac
prop	BC-t	type	enum
reac	R108737F5	BC-b	oned
reac	R108737F5	BC-p	asso
reac	R108737F5	BC-t	enzy
reac	R10F1D2FE	BC-b	bidi
reac	R10F1D2FE	BC-p	asso
reac	R10F1D2FE	BC-t	enzy
reac	R1106B2DD	BC-b	oned
reac	R1106B2DD	BC-p	asso
reac	R1106B2DD	BC-t	enzy
reac	R110DE088	BC-b	oned
reac	R110DE088	BC-p	asso
reac	R110DE088	BC-t	enzy
reac	R11275CD1	BC-b	bidi
reac	R11275CD1	BC-p	asso
reac	R11275CD1	BC-t	enzy
reac	R11626571	BC-b	oned
reac	R11626571	BC-p	asso
reac	R11626571	BC-t	enzy
reac	R11643D4D	BC-b	bidi
reac	R11643D4D	BC-p	asso
reac	R11643D4D	BC-t	enzy
reac	R117E8DDB	BC-b	oned
reac	R117E8DDB	BC-p	asso
reac	R117E8DDB	BC-t	tran
reac	R11895B3D	BC-b	oned
reac	R11895B3D	BC-p	asso
reac	R11895B3D	BC-t	enzy
reac	R11B0B3D8	BC-b	bidi
reac	R11B0B3D8	BC-p	asso
reac	R11B0B3D8	BC-t	enzy
reac	R11E1BC33	BC-b	bidi
reac	R11E1BC33	BC-p	asso
reac	R11E1BC33	BC-t	enzy
reac	R12515662	BC-b	bidi
reac	R12515662	BC-p	asso
reac	R12515662	BC-t	enzy
reac	R125C5AEC	BC-b	bidi
reac	R125C5AEC	BC-p	asso
reac	R125C5AEC	BC-t	enzy
reac	R126D82A7	BC-b	oned
reac	R126D82A7	BC-p	asso
reac	R126D82A7	BC-t	tran
reac	R1287610F	BC-b	oned
reac	R1287610F	BC-p	asso
reac	R1287610F	BC-t	enzy
reac	R12A8576F	BC-b	bidi
reac	R12A8576F	BC-p	asso
reac	R12A8576F	BC-t	enzy
reac	R130C8FB7	BC-b	oned
reac	R130C8FB7	BC-p	asso
reac	R130C8FB7	BC-t	enzy
reac	R1322E7EC	BC-b	bidi
reac	R1322E7EC	BC-p	asso
reac	R1322E7EC	BC-t	tran
reac	R133AB66A	BC-b	bidi
reac	R133AB66A	BC-p	asso
reac	R133AB66A	BC-t	enzy
reac	R135299A4	BC-b	oned
reac	R135299A4	BC-p	asso
reac	R135299A4	BC-t	enzy
reac	R138F4301	BC-b	oned
reac	R138F4301	BC-p	asso
reac	R138F4301	BC-t	enzy
reac	R13BF81AA	BC-b	bidi
reac	R13BF81AA	BC-p	asso
reac	R13BF81AA	BC-t	enzy
reac	R13C5E577	BC-b	oned
reac	R13C5E577	BC-p	asso
reac	R13C5E577	BC-t	enzy
reac	R13C632E8	BC-b	oned
reac	R13C632E8	BC-p	asso
reac	R13C632E8	BC-t	enzy
reac	R13F1E0C	BC-b	bidi
reac	R13F1E0C	BC-p	asso
reac	R13F1E0C	BC-t	enzy
reac	R13FD2591	BC-b	bidi
reac	R13FD2591	BC-p	asso
reac	R13FD2591	BC-t	enzy
reac	R143F1D5C	BC-b	bidi
reac	R143F1D5C	BC-p	asso
reac	R143F1D5C	BC-t	enzy
reac	R145FB8D6	BC-b	bidi
reac	R145FB8D6	BC-p	asso
reac	R145FB8D6	BC-t	enzy
reac	R1463504D	BC-b	oned
reac	R1463504D	BC-p	asso
reac	R1463504D	BC-t	enzy
reac	R15A0D733	BC-b	bidi
reac	R15A0D733	BC-p	asso
reac	R15A0D733	BC-t	tran
reac	R15A585E5	BC-b	bidi
reac	R15A585E5	BC-p	asso
reac	R15A585E5	BC-t	enzy
reac	R15DF7064	BC-b	bidi
reac	R15DF7064	BC-p	orph
reac	R15DF7064	BC-t	boun
reac	R15EF1F18	BC-b	oned
reac	R15EF1F18	BC-p	asso
reac	R15EF1F18	BC-t	enzy
reac	R16394420	BC-b	bidi
reac	R16394420	BC-p	asso
reac	R16394420	BC-t	enzy
reac	R16810B53	BC-b	bidi
reac	R16810B53	BC-p	asso
reac	R16810B53	BC-t	enzy
reac	R16AA0DCC	BC-b	bidi
reac	R16AA0DCC	BC-p	asso
